,prime_award_unique_key,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
49,ASST_NON_693JJ22230000YS30FLD319115_6925,444508.0,2022-09-01,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
50,ASST_NON_693JJ22230000Y300MN5322046_6925,142032.0,2022-09-26,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
51,ASST_NON_693JJ22230000Y001CO3852015_6925,34327.0,2022-02-10,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
52,ASST_NON_693JJ22230000Y460CO0712019_6925,265344.0,2022-02-08,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
53,ASST_NON_693JJ22230000Y001CO0253260_6925,221581.0,2022-02-09,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
54,ASST_NON_69A3752230000405DNEM_6940,1733595.94,2021-12-15,69,Department of Transportation (DOT),NUSELTALU9E7,"TRANSPORTATION, NEBRASKA DEPARTMENT OF",685095480
55,ASST_NON_69A37522300004020NE0_6940,3587313.96,2021-12-15,69,Department of Transportation (DOT),NUSELTALU9E7,"TRANSPORTATION, NEBRASKA DEPARTMENT OF",685095480
56,ASST_NON_69A37522300004020NE0_6940,3587313.96,2021-12-15,69,Department of Transportation (DOT),NUSELTALU9E7,"TRANSPORTATION, NEBRASKA DEPARTMENT OF",685095480
57,ASST_NON_69A3752230000405CNE0_6940,505536.17,2021-12-15,69,Department of Transportation (DOT),NUSELTALU9E7,"TRANSPORTATION, NEBRASKA DEPARTMENT OF",685095480
58,ASST_NON_69A3752230000405CNE0_6940,505536.17,2021-12-15,69,Department of Transportation (DOT),NUSELTALU9E7,"TRANSPORTATION, NEBRASKA DEPARTMENT OF",685095480
59,ASST_NON_69A3752230000405CNE0_6940,505536.17,2021-12-15,69,Department of Transportation (DOT),NUSELTALU9E7,"TRANSPORTATION, NEBRASKA DEPARTMENT OF",685095480
60,ASST_NON_693JJ22230000Y001COM240180_6925,604988.0,2022-02-08,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
61,ASST_NON_693JJ22230000Y300NHA004357_6925,390692.64,2022-09-14,69,Department of Transportation (DOT),DMA7LGZ3RMT1,NEW HAMPSHIRE DEPARTMENT OF TRANSPORTATION,33016502
62,ASST_NON_693JJ22230000Y301NHA004357_6925,508320.0,2022-09-01,69,Department of Transportation (DOT),DMA7LGZ3RMT1,NEW HAMPSHIRE DEPARTMENT OF TRANSPORTATION,33016502
63,ASST_NON_693JJ22230000Y230PAX061243_6925,529000.0,2022-06-06,69,Department of Transportation (DOT),DWXXLGJBUPL7,"TRANSPORTATION, PENNSYLVANIA DEPARTMENT OF",171200001
64,ASST_NON_MN-2020-020_6955,4278400.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
65,ASST_NON_MN-2020-020_6955,8712800.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
66,ASST_NON_693JJ22230000Y001CO072A047_6925,59614.0,2022-02-10,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
67,ASST_NON_2202INLIEI_7590,1322623.0,2022-01-24,75,Department of Health and Human Services (HHS),PW8WAKF1KWG9,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY,462043565
68,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
69,ASST_NON_693JJ22230000YS32OHE201157_6925,316855.6,2022-02-09,69,Department of Transportation (DOT),ERAMRH53K2Y7,"TRANSPORTATION, OHIO DEPARTMENT OF",432231102
70,ASST_NON_693JJ22230000YS30CA5933155_6925,384300.0,2022-02-24,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
71,ASST_NON_693JJ22230000Y240CA5933143_6925,2000000.0,2022-07-25,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
72,ASST_NON_69A37522300001640OHA_6940,1614076.0,2022-05-16,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
73,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
74,ASST_NON_693JJ22230000Y001MI22A0345_6925,705437.3,2022-02-04,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
75,ASST_NON_693JJ22230000YS30CA5446030_6925,517600.0,2022-07-12,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
76,ASST_NON_DC-2022-001_6955,1560507.0,2022-05-03,69,Department of Transportation (DOT),MFEKTKNN98Y5,COMMUNITY TRANSPORTATION ASSOCIATION OF AMERICA,200053105
77,ASST_NON_693JJ22230000Y400COC100046_6925,150018.0,2022-02-11,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
78,ASST_NON_693JJ22230000Y240MI22A0009_6925,4303263.75,2022-02-11,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
79,ASST_NON_693JJ22230000Y240MI22A0009_6925,4303263.75,2022-02-11,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
80,ASST_NON_693JJ22230000Y560COSW02157_6925,50000.0,2022-09-15,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
81,ASST_NON_693JJ22230000Y233CA5940099_6925,50000.0,2022-04-18,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
82,ASST_NON_693JJ22230000Y400CA5451035_6925,220000.0,2022-05-20,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
83,ASST_NON_693JJ22230000Y233CA5940106_6925,50000.0,2022-04-20,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
84,ASST_NON_693JJ22230000Y233CA5942287_6925,100000.0,2022-02-23,69,Department of Transportation (DOT),UK66CLD4DX71,"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",958167011
85,ASST_NON_CA-2022-195_6955,6819298.0,2022-09-08,69,Department of Transportation (DOT),JEVVZV6ALEN5,VENTURA COUNTY TRANSPORTATION COMMISSION,930106076
86,ASST_NON_693JJ31950004_6925,4196598.0,2018-11-07,69,Department of Transportation (DOT),DQDBM7FGJPC5,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,500112105
87,ASST_NON_693JJ22230000Y307MS0130015_6925,1063462.0,2022-09-20,69,Department of Transportation (DOT),CMKLXEA2MND4,MISSISSIPPI DEPARTMENT OF TRANSPORTATION,392011010
88,ASST_NON_2202INLIEI_7590,1322623.0,2022-01-24,75,Department of Health and Human Services (HHS),PW8WAKF1KWG9,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY,462043565
89,ASST_NON_69A3752230000405BMTL_6940,339108.52,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
90,ASST_NON_693JJ22230000Y233CA5932091_6925,50000.0,2022-08-10,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
91,ASST_NON_693JJ22230000Y240CA5322061_6925,1271000.0,2022-07-25,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
92,ASST_NON_693JJ22230000Y240CA5322063_6925,1415000.0,2022-07-25,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
93,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
94,ASST_NON_693JJ22230000Y230MI22A0414_6925,1414092.21,2022-03-07,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
95,ASST_NON_693JJ22230000Y306NHA004606_6925,697200.0,2022-06-07,69,Department of Transportation (DOT),DMA7LGZ3RMT1,"TRANSPORTATION, NEW HAMPSHIRE DEPARTMENT OF",33026502
96,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
97,ASST_NON_693JJ22230000Y550VTSPWP022_6925,2000000.0,2022-01-27,69,Department of Transportation (DOT),K5ZLF422BS36,"TRANSPORTATION, VERMONT AGENCY OF",56414129
98,ASST_NON_693JJ22230000YS30MN0422100_6925,37767.6,2022-09-01,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
99,ASST_NON_693JJ22230000YS30MN0422126_6925,44632.26,2022-09-01,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
100,ASST_NON_693JJ22230000YS30MN0422097_6925,161590.55,2022-09-01,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
101,ASST_NON_693JJ22230000Y001NJ0020302_6925,1648137.62,2022-04-25,69,Department of Transportation (DOT),ML8GCTH8C975,"TRANSPORTATION, NEW JERSEY DEPT OF",86182309
102,ASST_NON_693JJ22230000YS30CA5068052_6925,96210.0,2022-08-08,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
103,ASST_NON_693JJ22230000Y001CA5068037_6925,69053.0,2022-06-06,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
104,ASST_NON_693JJ22230000YS30CA5068062_6925,1148000.0,2022-03-04,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
105,ASST_NON_69A3752230000405BNYH_6940,2352627.26,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
106,ASST_NON_693JJ2223000022MPMI22A0954_6925,43806.0,2022-09-12,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
107,ASST_NON_693JJ22230000Y400COC010130_6925,676762.0,2022-08-31,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
108,ASST_NON_693JJ22230000Y400COM320108_6925,301033.0,2022-06-07,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
109,ASST_NON_693JJ22230000Y240COP6C0035_6925,33990.0,2022-07-16,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
110,ASST_NON_693JJ22230000YS30COM320118_6925,118460.0,2022-09-14,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
111,ASST_NON_693JJ22230000Y240COSW02762_6925,66792.0,2022-08-24,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
112,ASST_NON_693JJ22230000YS30COM320117_6925,121978.0,2022-09-14,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
113,ASST_NON_693JJ22230000Y301CA5108202_6925,543000.0,2022-03-07,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
114,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
115,ASST_NON_69A37522300001640OHA_6940,1614076.0,2022-05-16,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
116,ASST_NON_693JJ22230000Y233MI22A0370_6925,475321.6,2022-02-16,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
117,ASST_NON_693JJ22230000Y001CA5275021_6925,1291254.0,2022-03-24,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
118,ASST_NON_MI-2021-049_6955,3245891.0,2021-08-18,69,Department of Transportation (DOT),NVZJM5MJ2MB6,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
119,ASST_NON_693JJ22230000Y001CA5282040_6925,575445.0,2022-03-16,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
120,ASST_NON_693JJ22230000Y306COC240010_6925,371011.0,2022-03-22,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
121,ASST_NON_693JJ22230000Y233CA5949156_6925,194000.0,2022-03-07,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
122,ASST_NON_NA22NMF4380227_1330,24000000.0,2022-07-19,13,Department of Commerce (DOC),CDNFKKJT29X4,"RECREATION AND CONSERVATION OFFICE, WASHINGTON STATE",985012283
123,ASST_NON_69A3752230000405BNMH_6940,381405.33,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
124,ASST_NON_69A37522300004020NM0_6940,3199205.99,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
125,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
126,ASST_NON_693JJ22230000Y240MN0822009_6925,1482434.76,2022-08-26,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
127,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
128,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
129,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
130,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
131,ASST_NON_693JJ2223000022MPMI22A0948_6925,44616.0,2022-09-12,69,Department of Transportation (DOT),TRR5GXJJ9254,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
132,ASST_NON_693JJ22230000Y400COM400010_6925,63904.0,2022-02-08,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
133,ASST_NON_693JJ22230000Y233PAT062190_6925,140000.0,2022-08-18,69,Department of Transportation (DOT),DWXXLGJBUPL7,"TRANSPORTATION, PENNSYLVANIA DEPARTMENT OF",171200001
134,ASST_NON_693JJ22230000Y240MN2422083_6925,2203234.23,2022-08-10,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
135,ASST_NON_693JJ22230000Y236CO025A050_6925,180000.0,2022-07-19,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
136,ASST_NON_693JJ22230000Y001CO025A050_6925,62976.0,2022-02-11,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
137,ASST_NON_693JJ22230000Y240COSW02303_6925,250000.0,2022-03-03,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
138,ASST_NON_693JJ31950003_6925,178894809.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,20418
139,ASST_NON_2202INLIEI_7590,1322623.0,2022-01-24,75,Department of Health and Human Services (HHS),PW8WAKF1KWG9,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY,462043565
140,ASST_NON_693JJ22230000YS32NM9900882_6925,54000.0,2022-09-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
141,ASST_NON_693JJ22230000Y307NHA004408_6925,37502.8,2022-06-07,69,Department of Transportation (DOT),DMA7LGZ3RMT1,"TRANSPORTATION, NEW HAMPSHIRE DEPARTMENT OF",33026502
