,contract_award_unique_key,award_id_piid,total_obligated_amount,award_base_action_date,awarding_agency_code,awarding_agency_name,recipient_uei,recipient_name,recipient_zip_4_code
14,CONT_AWD_693JJ320F000509_6925_693JJ320A000027_6925,693JJ320F000509,5528878.41,2020-09-30,69,DEPARTMENT OF TRANSPORTATION (DOT),Q6ULESYWUAG6,SCHATZ PUBLISHING GROUP LIMITED LIABILITY COMPANY,746311651
15,CONT_AWD_697DCK22C00275_6920_-NONE-_-NONE-,697DCK22C00275,151661.0,2022-08-02,69,DEPARTMENT OF TRANSPORTATION (DOT),MDZGJNL2K4Y6,,995032749
16,CONT_AWD_W912ES22F0071_9700_W912ES21D0003_9700,W912ES22F0071,10000.0,2022-06-16,97,DEPARTMENT OF DEFENSE (DOD),MZ99Z2KD7R97,"TERRACON CONSULTANTS, INC.",580783621
17,CONT_AWD_6973GH22F01422_6920_6973GH18D00018_6920,6973GH22F01422,42441.0,2022-08-03,69,DEPARTMENT OF TRANSPORTATION (DOT),NLNMLBJA3TF4,"MAETEC POWER, INC.",144509542
18,CONT_AWD_12441922P0007_12C2_-NONE-_-NONE-,12441922P0007,12894.84,2022-08-20,12,DEPARTMENT OF AGRICULTURE (USDA),CLY9B6CG1TH1,REYCO FOREST MANAGEMENT LLC,545218820
19,CONT_AWD_140G0221P0111_1434_-NONE-_-NONE-,140G0221P0111,32691.17,2021-05-28,14,DEPARTMENT OF THE INTERIOR (DOI),YBMDPM4F6KQ6,ALLIE CARLILE,463049511
20,CONT_AWD_693JJ922F00200N_6940_693JJ921D000009_6940,693JJ922F00200N,343591.0,2022-09-30,69,DEPARTMENT OF TRANSPORTATION (DOT),U9MQMK3EMHJ3,AMERICAN CENTER FOR MOBILITY,481988039
21,CONT_AWD_1240LS22F0019_12C2_1240LS22D0005_12C2,1240LS22F0019,25162.4,2022-04-01,12,DEPARTMENT OF AGRICULTURE (USDA),CDMPGNLGVNT4,"OC FORESTRY, INCORPORATED",975012819
22,CONT_AWD_1331L522F13350190_1301_1331L522A13ES0001_1301,1331L522F13350190,2348359.0,2022-04-15,13,DEPARTMENT OF COMMERCE (DOC),EJJMMJHYDFH6,SOFTWARE INFORMATION RESOURCE CORP.,200372500
23,CONT_AWD_693JJ321F000058_6925_693JJ321D000001_6925,693JJ321F000058,1223333.77,2021-05-28,69,DEPARTMENT OF TRANSPORTATION (DOT),EADLFP7Z72E5,GEORGE MASON UNIVERSITY,220304422
24,CONT_AWD_6982AF22F00071N_6925_6982AF19D000006_6925,6982AF22F00071N,39433.56,2022-04-20,69,DEPARTMENT OF TRANSPORTATION (DOT),ET9MWK3PM4U6,"DJ&A, P.C.",598018536
25,CONT_AWD_693JJ422F000012_6953_DTMC7517A00001_6953,693JJ422F000012,838305.0,2022-02-16,69,DEPARTMENT OF TRANSPORTATION (DOT),P9AYXJHNM185,"NEW EDITIONS, INC.",220464237
26,CONT_AWD_1240BH22F0073_12C2_1205G219D0003_12C2,1240BH22F0073,50178.08,2022-09-01,12,DEPARTMENT OF AGRICULTURE (USDA),ET9MWK3PM4U6,"DJ&A, P.C.",598018536
27,CONT_AWD_140P2022F0208_1443_140P2021D0005_1443,140P2022F0208,61545.2,2022-08-23,14,DEPARTMENT OF THE INTERIOR (DOI),KBCXMJ2WXRK7,"HDR ENGINEERING, INC.",802024824
28,CONT_AWD_127EAW22C0027_12C2_-NONE-_-NONE-,127EAW22C0027,108870.73,2022-08-29,12,DEPARTMENT OF AGRICULTURE (USDA),CWHSM6ADNWL4,"AZTEC CONTRACTING, LLC",681081724
29,CONT_AWD_1305M322FNFFN0138_1330_1305M418DNFFK0013_1330,1305M322FNFFN0138,1552139.6,2022-08-31,13,DEPARTMENT OF COMMERCE (DOC),DYF6V8HC62E3,AZURA CONSULTING LLC,750435628
30,CONT_AWD_693JJ922F00174N_6940_693JJ918D000005_6940,693JJ922F00174N,1959863.0,2022-09-24,69,DEPARTMENT OF TRANSPORTATION (DOT),KXNRBQRMKPZ5,TEXAS A&M TRANSPORTATION INSTITUTE,778430001
31,CONT_AWD_693JK422F98512N_6901_693JK422D800008_6901,693JK422F98512N,104860.75,2022-09-26,69,DEPARTMENT OF TRANSPORTATION (DOT),MV16RAZPXBA1,XENTITY CORPORATION,804013275
32,CONT_AWD_693C7322F00102N_6925_GS35F253CA_4732,693C7322F00102N,36725.45,2022-08-24,69,DEPARTMENT OF TRANSPORTATION (DOT),WUK9A5UR33S7,"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",923738118
33,CONT_AWD_140F0922P0072_1448_-NONE-_-NONE-,140F0922P0072,183600.0,2022-09-22,14,DEPARTMENT OF THE INTERIOR (DOI),QQMXBPH5JKP2,"GARCIA FOREST SERVICE, L.L.C.",283798060
34,CONT_AWD_12441922F0081_12C2_12467020A0028_12C2,12441922F0081,101912.8,2022-09-29,12,DEPARTMENT OF AGRICULTURE (USDA),ZCKVFKSF98F5,"LG2 ENVIRONMENTAL SOLUTIONS, INC.",322563585
35,CONT_AWD_693JJ322F00323N_6925_693JJ318D000015_6925,693JJ322F00323N,2950000.0,2022-09-12,69,DEPARTMENT OF TRANSPORTATION (DOT),Z475JYLWFCK8,"ITERIS, INC.",927055551
36,CONT_AWD_1305L222FNCNT0115_1330_NNG15SC80B_8000,1305L222FNCNT0115,13200.0,2022-08-08,13,DEPARTMENT OF COMMERCE (DOC),F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",037662617
37,CONT_AWD_1240BE22P0041_12C2_-NONE-_-NONE-,1240BE22P0041,261530.4,2022-09-28,12,DEPARTMENT OF AGRICULTURE (USDA),GHX8B6NA33M3,"ACELA ARCHITECTS + ENGINEERS, PC",181035523
38,CONT_AWD_1284LL22F0023_12C2_12034319D0007_12C2,1284LL22F0023,100310.0,2022-05-10,12,DEPARTMENT OF AGRICULTURE (USDA),CDMPGNLGVNT4,"OC FORESTRY, INCORPORATED",975012819
39,CONT_AWD_693JJ322F00358N_6925_693JJ320D000024_6925,693JJ322F00358N,250000.0,2022-09-21,69,DEPARTMENT OF TRANSPORTATION (DOT),GRE7FRHVM919,"VANASSE HANGEN BRUSTLIN, INC.",024714054
40,CONT_AWD_68HE0821F0071_6800_68HERH19D0008_6800,68HE0821F0071,1385884.31,2021-07-30,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),LEEMJD9WKDC9,,210311124
41,CONT_AWD_693JJ422F00047N_6953_GS03F113DA_4732,693JJ422F00047N,243156.0,2022-09-02,69,DEPARTMENT OF TRANSPORTATION (DOT),TK67EL9NPMD9,FEDERAL CONTRACTS CORP,336124446
42,CONT_AWD_6973GH22F01668_6920_6973GH22D00016_6920,6973GH22F01668,0.0,2022-09-12,69,DEPARTMENT OF TRANSPORTATION (DOT),C4DSLZNYMPV3,"URBAN ELECTRIC, INC.",327013451
43,CONT_AWD_12363N22F4058_12C2_AG9AB5C170066_12C2,12363N22F4058,845413.0,2022-09-29,12,DEPARTMENT OF AGRICULTURE (USDA),C7ADDFKC39J9,,95249
44,CONT_AWD_1282B122F0051_12C2_GS10F0412S_4730,1282B122F0051,249796.06,2022-09-29,12,DEPARTMENT OF AGRICULTURE (USDA),H8GMR61MW2C9,"ENVIRONMENTAL MANAGEMENT AND PLANNING SOLUTIONS, INC.",803012299
45,CONT_AWD_693JK322F00038N_6957_693JJ320A000011_6925,693JK322F00038N,720661.65,2022-09-21,69,DEPARTMENT OF TRANSPORTATION (DOT),MPGNDNHHWM33,CRITERION SYSTEMS INC,221822624
46,CONT_AWD_140P2022F0294_1443_GS00F194CA_4732,140P2022F0294,251160.0,2022-09-01,14,DEPARTMENT OF THE INTERIOR (DOI),QGC7CHWHPT51,"JOHNSON, MIRMIRAN & THOMPSON, INC.",210302059
47,CONT_AWD_6973GH22F01433_6920_6973GH22D00010_6920,6973GH22F01433,140991.5,2022-08-05,69,DEPARTMENT OF TRANSPORTATION (DOT),E2W6TRUP2FA8,CUSA CONSULTING LLC,038421970
48,CONT_AWD_140P4222F0105_1443_140P2121A0027_1443,140P4222F0105,20822.25,2022-09-24,14,DEPARTMENT OF THE INTERIOR (DOI),C76NUJZDXL75,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",194221972
49,CONT_AWD_1282B122F0040_12C2_12034319D0031_12C2,1282B122F0040,330569.0,2022-09-21,12,DEPARTMENT OF AGRICULTURE (USDA),JY11MP8CNKD1,"STONE RIDGE CONSTRUCTION, INC",838399703
50,CONT_AWD_1305M222FNCNP0400_1330_1305M221DNCNP0018_1330,1305M222FNCNP0400,488400.84,2022-09-02,13,DEPARTMENT OF COMMERCE (DOC),EMJEL3XM6A87,"QUANTUM SPATIAL, INC.",337163830
51,CONT_AWD_1282B122F0044_12C2_GS30F0017U_4730,1282B122F0044,42321.0,2022-09-28,12,DEPARTMENT OF AGRICULTURE (USDA),GWKBD9NYA157,"TRUAX COMPANY, INC.",554284981
52,CONT_AWD_6973GH22F01633_6920_6973GH22D00014_6920,6973GH22F01633,193249.38,2022-09-07,69,DEPARTMENT OF TRANSPORTATION (DOT),U9GDGL5NLPE1,QUAD J INC,461238289
53,CONT_AWD_693JK422F985006_6901_693JK422D800006_6901,693JK422F985006,30000.0,2022-03-30,69,DEPARTMENT OF TRANSPORTATION (DOT),MHBBRFVLEYA3,"TIOGA GROUP INC, THE",945561539
54,CONT_AWD_89303022FGD000002_8900_89303018AOE000001_8900,89303022FGD000002,300000.0,2022-09-27,89,DEPARTMENT OF ENERGY (DOE),QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",220316050
55,CONT_AWD_1240BD22P0046_12C2_-NONE-_-NONE-,1240BD22P0046,194775.0,2022-04-21,12,DEPARTMENT OF AGRICULTURE (USDA),JHJ7FMJJ8PM9,"CROWLEY HOLDINGS, LLC",701196175
56,CONT_AWD_12970222F0004_12C2_12046W20A0047_12C2,12970222F0004,55760.0,2022-09-21,12,DEPARTMENT OF AGRICULTURE (USDA),J7JLZJ246JV7,TURNSTONE ENVIRONMENTAL CONSULTANTS INC,972311333
57,CONT_AWD_89703022CAR000008_8900_-NONE-_-NONE-,89703022CAR000008,33768121.1,2021-11-30,89,DEPARTMENT OF ENERGY (DOE),JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC.,221023830
58,CONT_AWD_140G0222P0230_1434_-NONE-_-NONE-,140G0222P0230,25170.0,2022-08-19,14,DEPARTMENT OF THE INTERIOR (DOI),C27BP8Y3BKN4,MEDUSA RADIOMETRICS B.V.,9723 JR
59,CONT_AWD_12760422C0009_12C2_-NONE-_-NONE-,12760422C0009,1382820.9,2022-09-30,12,DEPARTMENT OF AGRICULTURE (USDA),W9VKXF63ENM1,DSOFT TECHNOLOGY COMPANY,809203958
60,CONT_AWD_6973GH22F01573_6920_6973GH22D00009_6920,6973GH22F01573,256979.3,2022-08-29,69,DEPARTMENT OF TRANSPORTATION (DOT),MTLZBCUL6Y61,"C.N.S. COMMUNICATIONS, LLC",852601525
61,CONT_AWD_68HE0821F0046_6800_68HE0121D0001_6800,68HE0821F0046,398418.36,2021-06-09,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),G6G3JNB3NMP5,"TECHLAW CONSULTANTS, INC.",201513870
62,CONT_AWD_693JJ421F000044_6953_47QRAD20D8133_4732,693JJ421F000044,881854.27,2021-08-10,69,DEPARTMENT OF TRANSPORTATION (DOT),KKZ6VV15MBK7,ARDENT TECHNOLOGIES INC.,454591927
63,CONT_AWD_693C7322F000010_6925_693C7319D000004_6925,693C7322F000010,768471.91,2021-12-23,69,DEPARTMENT OF TRANSPORTATION (DOT),YHN4DV1JJVF8,WSP USA INC.,201714641
64,CONT_AWD_140F0922P0122_1448_-NONE-_-NONE-,140F0922P0122,61200.0,2022-07-22,14,DEPARTMENT OF THE INTERIOR (DOI),GV1BNGLKSYY9,"MID SOUTH SUPPLIERS, LLC",380193616
65,CONT_AWD_6973GH22F01632_6920_6973GH22D00014_6920,6973GH22F01632,193249.38,2022-09-07,69,DEPARTMENT OF TRANSPORTATION (DOT),U9GDGL5NLPE1,QUAD J INC,461238289
66,CONT_AWD_140L1722P0042_1422_-NONE-_-NONE-,140L1722P0042,3186.0,2022-09-02,14,DEPARTMENT OF THE INTERIOR (DOI),SESPPKCHUGY5,OLATHE SPRAY SERVICE INC,814259350
67,CONT_AWD_12444222F0285_12C2_12444222A0020_12C2,12444222F0285,131731.26,2022-08-23,12,DEPARTMENT OF AGRICULTURE (USDA),CX9VNTFFPTB8,"INTEGRATED ENVIRONMENTAL SOLUTIONS, LLC",750696701
68,CONT_AWD_12444122F0025_12C2_12444121A0004_12C2,12444122F0025,26772.0,2022-03-02,12,DEPARTMENT OF AGRICULTURE (USDA),QQMXBPH5JKP2,"GARCIA FOREST SERVICE, L.L.C.",283798060
69,CONT_AWD_69056721F000098_6925_69056721D000007_6925,69056721F000098,370944.34,2021-09-17,69,DEPARTMENT OF TRANSPORTATION (DOT),GRCKAMJKQJZ3,JACOBS ENGINEERING GROUP INC.,980044770
70,CONT_AWD_693JK422F985005_6901_693JK422D800008_6901,693JK422F985005,10000.0,2022-03-22,69,DEPARTMENT OF TRANSPORTATION (DOT),MV16RAZPXBA1,XENTITY CORPORATION,804013275
71,CONT_AWD_12444322F0032_12C2_12343418D0013_12C2,12444322F0032,14145.0,2022-04-05,12,DEPARTMENT OF AGRICULTURE (USDA),TS7JA6LFF3G9,"LAWSON, HENRY",249208014
72,CONT_AWD_12441922F0062_12C2_12445522A0111_12C2,12441922F0062,202873.6,2022-09-21,12,DEPARTMENT OF AGRICULTURE (USDA),DJBXTN16DAP6,"SNOW COUNTRY CONTRACTING, INC.",499119752
73,CONT_AWD_6973GH22F01746_6920_6973GH22D00016_6920,6973GH22F01746,252417.14,2022-09-14,69,DEPARTMENT OF TRANSPORTATION (DOT),C4DSLZNYMPV3,"URBAN ELECTRIC, INC.",327013451
74,CONT_AWD_693JJ318C000024_6925_-NONE-_-NONE-,693JJ318C000024,1640926.4,2018-09-20,69,DEPARTMENT OF TRANSPORTATION (DOT),XW3QMN7E3NY9,"JETECHNOLOGY SOLUTIONS, INC.",328379228
75,CONT_AWD_6973GH22F01721_6920_6973GH22D00015_6920,6973GH22F01721,0.0,2022-09-12,69,DEPARTMENT OF TRANSPORTATION (DOT),VZH2RXQG6QD5,SENTINEL POWER SERVICES LLC,85377
76,CONT_AWD_68HE0720F0049_6800_68HE0118D0017_6800,68HE0720F0049,671013.85,2020-02-10,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),GJQPA4RCYMC7,PWT-BAY WEST JOINT VENTURE LLC,802156552
77,CONT_AWD_693JJ421F000049_6953_47QTCA19D004P_4732,693JJ421F000049,1984755.73,2021-08-22,69,DEPARTMENT OF TRANSPORTATION (DOT),EJ2ERLR7UWM4,REVEAL GLOBAL CONSULTING LLC,176033072
78,CONT_AWD_12443922F0064_12C2_12531A20D0003_12C2,12443922F0064,92163.6,2022-07-19,12,DEPARTMENT OF AGRICULTURE (USDA),ZNCMG7ZJCMK3,RED LEAF FORESTRY INC,719135063
79,CONT_AWD_1240BK21P0035_12C2_-NONE-_-NONE-,1240BK21P0035,16057.9,2021-03-22,12,DEPARTMENT OF AGRICULTURE (USDA),MJMQSAGJHAY7,"E-M DAVIS DEVELOPMENT, LLC",974899602
80,CONT_AWD_69056720F000036_6925_DTFH7015D00002_6925,69056720F000036,755432.17,2020-03-30,69,DEPARTMENT OF TRANSPORTATION (DOT),V7LRNWKFWG53,"DAVID EVANS AND ASSOCIATES, INC.",972018009
81,CONT_AWD_12970222P0013_12C2_-NONE-_-NONE-,12970222P0013,374364.0,2022-09-14,12,DEPARTMENT OF AGRICULTURE (USDA),DM5MQYBBNML7,MARKIT! FORESTRY MANAGEMENT LLC,809193143
82,CONT_AWD_140A0422F0020_1450_140A1620D0010_1450,140A0422F0020,133599.6,2022-09-21,14,DEPARTMENT OF THE INTERIOR (DOI),SAPRLF5ZLKS9,CHENHALL SEDONA SOLUTIONS JOINT VENTURE LLC,528033706
83,CONT_AWD_68HE0920F0076_6800_EPS91401_6800,68HE0920F0076,9651845.93,2020-07-24,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),LEEMJD9WKDC9,,210311124
84,CONT_AWD_1240LQ22F0013_12C2_1282BH19D0001_12C2,1240LQ22F0013,23818.0,2022-07-11,12,DEPARTMENT OF AGRICULTURE (USDA),NEZLJNFFTE11,"CUTTING EDGE FORESTRY, INC.",975019335
85,CONT_AWD_140L3722P0061_1422_-NONE-_-NONE-,140L3722P0061,215325.0,2022-08-31,14,DEPARTMENT OF THE INTERIOR (DOI),N738D69T4B71,WESTERN TIMBER MANAGEMENT LLC,816219323
86,CONT_AWD_693JJ322F00267N_6925_693JJ322A000002_6925,693JJ322F00267N,218445.7,2022-09-06,69,DEPARTMENT OF TRANSPORTATION (DOT),JCBMLGPE6Z71,,221023830
87,CONT_AWD_W912EK22F0045_9700_W912EK19A0013_9700,W912EK22F0045,28720.0,2022-06-27,97,DEPARTMENT OF DEFENSE (DOD),E7YGSDDVFXH5,"MB ENTERPRISES OF AMES, LC",500107700
88,CONT_IDV_140L0622D0007_1422,140L0622D0007,10000.0,2022-08-23,14,DEPARTMENT OF THE INTERIOR (DOI),QH37GCNY4AK5,ORE-CAL LAND DEVELOPMENT LLC,976038173
89,CONT_AWD_12444322F0099_12C2_1255N920D0007_12C2,12444322F0099,37964.93,2022-09-02,12,DEPARTMENT OF AGRICULTURE (USDA),Y9SRXAT1MBJ8,"COPPERHEAD ENVIRONMENTAL CONSULTING, INC",404618365
90,CONT_AWD_693JK422F985004_6901_693JK422D800007_6901,693JK422F985004,10000.0,2022-03-22,69,DEPARTMENT OF TRANSPORTATION (DOT),V4T4LAWDEKM6,"WERIS, INC",201668503
91,CONT_AWD_6973GH22F01616_6920_6973GH22D00009_6920,6973GH22F01616,256979.3,2022-09-06,69,DEPARTMENT OF TRANSPORTATION (DOT),MTLZBCUL6Y61,"C.N.S. COMMUNICATIONS, LLC",852601525
92,CONT_AWD_6973GH22F01722_6920_6973GH22D00014_6920,6973GH22F01722,310195.77,2022-09-12,69,DEPARTMENT OF TRANSPORTATION (DOT),U9GDGL5NLPE1,QUAD J INC,461238289
93,CONT_AWD_140G0322F0156_1434_GS07F5934R_4730,140G0322F0156,28774.45,2022-09-19,14,DEPARTMENT OF THE INTERIOR (DOI),J49CN39QTNW3,GOVERNMENT SCIENTIFIC SOURCE INCORPORATED,201913415
94,CONT_IDV_140L0622D0008_1422,140L0622D0008,0.0,2022-08-23,14,DEPARTMENT OF THE INTERIOR (DOI),TB5PGUMUFEY9,QUICKSILVER CONTRACTING CO,97739
95,CONT_AWD_6982AF22F000003_6925_6982AF19D000006_6925,6982AF22F000003,399652.27,2021-10-15,69,DEPARTMENT OF TRANSPORTATION (DOT),ET9MWK3PM4U6,"DJ&A, P.C.",598018536
96,CONT_AWD_140L6222F0016_1422_GS30F010AA_4732,140L6222F0016,117554.14,2022-08-20,14,DEPARTMENT OF THE INTERIOR (DOI),HRQ1ENHJDQL8,DABB & CO INC,840702651
97,CONT_AWD_1305M322FNRMA0189_1330_1305M322DNRMA0003_1330,1305M322FNRMA0189,851489.0,2022-09-08,13,DEPARTMENT OF COMMERCE (DOC),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
98,CONT_AWD_693JJ322P000009_6925_-NONE-_-NONE-,693JJ322P000009,539766.4,2021-12-10,69,DEPARTMENT OF TRANSPORTATION (DOT),J6XWV4TYFMJ4,PUYENPA TECHNOLOGIES LLC,893149800
99,CONT_AWD_693C7322F00089N_6925_693C7319D000003_6925,693C7322F00089N,160770.0,2022-08-29,69,DEPARTMENT OF TRANSPORTATION (DOT),KJQHMKR62UJ3,"VANASSE HANGEN BRUSTLIN, INC.",231855797
100,CONT_AWD_12444222F0124_12C2_127A8619D0005_12C2,12444222F0124,41344.0,2022-05-12,12,DEPARTMENT OF AGRICULTURE (USDA),WJMKATWJ6JN5,"UGARTECHEA II, BENITO",719099672
101,CONT_AWD_12441922F0073_12C2_12467018A0046_12C2,12441922F0073,73310.0,2022-09-29,12,DEPARTMENT OF AGRICULTURE (USDA),F7G8HLU9CHT5,MCCALL'S GRADING & CONSTRUCTION INC,287089697
102,CONT_AWD_140G0222F0218_1434_NNG15SC05B_8000,140G0222F0218,22911.72,2022-07-25,14,DEPARTMENT OF THE INTERIOR (DOI),CN4KSKX2UQY5,"COUNTERTRADE PRODUCTS, INC.",800033969
103,CONT_AWD_693JJ922C000013_6940_-NONE-_-NONE-,693JJ922C000013,99916.27,2022-09-28,69,DEPARTMENT OF TRANSPORTATION (DOT),N8GCXLEK5WH3,"NATIONAL VOLUNTEER FIRE COUNCIL, INC.",207703253
104,CONT_AWD_697DCK22C00291_6920_-NONE-_-NONE-,697DCK22C00291,1967000.0,2022-09-23,69,DEPARTMENT OF TRANSPORTATION (DOT),KJG4LEBT2J89,ARMSTRONG ELEVATOR COMPANY,337713708
105,CONT_AWD_W912P922F0103_9700_W912P921D0024_9700,W912P922F0103,99000.0,2022-04-05,97,DEPARTMENT OF DEFENSE (DOD),SV3VM5HNMC49,"AXIS GEOSPATIAL, LLC",216017742
106,CONT_AWD_140P2022P0025_1443_-NONE-_-NONE-,140P2022P0025,390590.0,2022-08-31,14,DEPARTMENT OF THE INTERIOR (DOI),YX9HBNMJL231,"ARKANSAS LAND SPECIALISTS, LLC",72719
107,CONT_AWD_68HE0222F0061_6800_68HE0220D0001_6800,68HE0222F0061,85000.0,2022-09-16,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),MHMPN3F73NX3,"ENVIRONMENTAL RESTORATION, L.L.C.",630262926
108,CONT_AWD_1240BD22F0049_12C2_1204T019A0004_12C2,1240BD22F0049,102385.0,2022-05-12,12,DEPARTMENT OF AGRICULTURE (USDA),TW28HX5LBW43,"RAMOS REFORESTATION, INC.",986269545
109,CONT_AWD_69056722F000010_6925_69056718D000005_6925,69056722F000010,10591008.6,2021-11-23,69,DEPARTMENT OF TRANSPORTATION (DOT),H26MCJZ8V743,"INTERMOUNTAIN SLURRY SEAL, INC.",841162321
110,CONT_AWD_140F0522F0123_1448_140F0119D0002_1448,140F0522F0123,0.0,2022-08-17,14,DEPARTMENT OF THE INTERIOR (DOI),XCZ8MBWNEKW1,"HISTORICAL RESEARCH ASSOCIATES, INC.",598024407
111,CONT_AWD_68HE0321F0004_6800_68HE0318D0005_6800,68HE0321F0004,289848.72,2020-10-26,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),LEEMJD9WKDC9,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",210311124
112,CONT_AWD_W911KB22C0010_9700_-NONE-_-NONE-,W911KB22C0010,3874990.0,2022-05-17,97,DEPARTMENT OF DEFENSE (DOD),MD1JNN2MYJW1,"WESTERN MARINE CONSTRUCTION, INC.",981262168
113,CONT_AWD_693JJ922F00173N_6940_47QRAA22D003L_4732,693JJ922F00173N,458869.0,2022-09-23,69,DEPARTMENT OF TRANSPORTATION (DOT),KV6LNFQWZH48,TOXCEL LLC,201553061
114,CONT_AWD_12FPC322F0228_12D0_12SPEC18D0008_12C3,12FPC322F0228,834909.91,2022-09-28,12,DEPARTMENT OF AGRICULTURE (USDA),LMF9HW9MPKL6,"RJH CONSULTANTS, INC.",801125999
115,CONT_AWD_140F0222F0024_1448_140F0318D0019_1448,140F0222F0024,41380.85,2022-08-15,14,DEPARTMENT OF THE INTERIOR (DOI),KHK9VCJE7SJ1,BARR ENGINEERING CO.,554355423
116,CONT_AWD_6973GH22F01008_6920_6973GH22D00010_6920,6973GH22F01008,394992.9,2022-05-19,69,DEPARTMENT OF TRANSPORTATION (DOT),E2W6TRUP2FA8,CUSA CONSULTING LLC,038421970
117,CONT_AWD_693JJ921F000055_6940_693JJ919D000003_6940,693JJ921F000055,44938270.68,2021-05-11,69,DEPARTMENT OF TRANSPORTATION (DOT),G817AAQLEAJ3,STRATACOMM LLC,200056700
118,CONT_AWD_693C7322F00111N_6925_693C7320D000017_6925,693C7322F00111N,539673.37,2022-09-08,69,DEPARTMENT OF TRANSPORTATION (DOT),YKVNGM329N76,"ESTES BROS. CONST., INC.",242638491
